Keyword,Search Volume (Global),CPC (Global),Competition (Global),May 14 2023,May 7 2023,Apr 30 2023,Apr 23 2023,Apr 16 2023,Apr 9 2023,Apr 2 2023,Mar 26 2023,Mar 19 2023,Mar 12 2023,Mar 5 2023,Feb 26 2023,Feb 19 2023,Feb 12 2023,Feb 5 2023,Jan 29 2023,Jan 22 2023,Jan 15 2023,Jan 8 2023,Jan 1 2023,Dec 25 2022,Dec 18 2022,Dec 11 2022,Dec 4 2022,Nov 27 2022,Nov 20 2022,Nov 13 2022,Nov 6 2022,Oct 30 2022,Oct 23 2022,Oct 16 2022,Oct 9 2022,Oct 2 2022,Sep 25 2022,Sep 18 2022,Sep 11 2022,Sep 4 2022,Aug 28 2022,Aug 21 2022,Aug 14 2022,Aug 7 2022,Jul 31 2022,Jul 24 2022,Jul 17 2022,Jul 10 2022,Jul 3 2022,Jun 26 2022,Jun 19 2022,Jun 12 2022,Jun 5 2022,May 29 2022,May 22 2022,May 15 2022,May 8 2022,May 1 2022,Apr 24 2022,Apr 17 2022,Apr 10 2022,Apr 3 2022,Mar 27 2022,Mar 20 2022,Mar 13 2022,Mar 6 2022,Feb 27 2022,Feb 20 2022,Feb 13 2022,Feb 6 2022,Jan 30 2022,Jan 23 2022,Jan 16 2022,Jan 9 2022,Jan 2 2022,"Dec 26, 2021 2022",Dec 19 2021,Dec 12 2021,Dec 5 2021,Nov 28 2021,Nov 21 2021,Nov 14 2021,Nov 7 2021,Oct 31 2021,Oct 24 2021,Oct 17 2021,Oct 10 2021,Oct 3 2021,Sep 26 2021,Sep 19 2021,Sep 12 2021,Sep 5 2021,Aug 29 2021,Aug 22 2021,Aug 15 2021,Aug 8 2021,Aug 1 2021,Jul 25 2021,Jul 18 2021,Jul 11 2021,Jul 4 2021,Jun 27 2021,Jun 20 2021,Jun 13 2021,Jun 6 2021,May 30 2021,May 23 2021,May 16 2021,May 9 2021,May 2 2021,Apr 25 2021,Apr 18 2021,Apr 11 2021,Apr 4 2021,Mar 28 2021,Mar 21 2021,Mar 14 2021,Mar 7 2021,Feb 28 2021,Feb 21 2021,Feb 14 2021,Feb 7 2021,Jan 31 2021,Jan 24 2021,Jan 17 2021,Jan 10 2021,Jan 3 2021,"Dec 27, 2020 2021",Dec 20 2020,Dec 13 2020,Dec 6 2020,Nov 29 2020,Nov 22 2020,Nov 15 2020,Nov 8 2020,Nov 1 2020,Oct 25 2020,Oct 18 2020,Oct 11 2020,Oct 4 2020,Sep 27 2020,Sep 20 2020,Sep 13 2020,Sep 6 2020,Aug 30 2020,Aug 23 2020,Aug 16 2020,Aug 9 2020,Aug 2 2020,Jul 26 2020,Jul 19 2020,Jul 12 2020,Jul 5 2020,Jun 28 2020,Jun 21 2020,Jun 14 2020,Jun 7 2020,May 31 2020,May 24 2020,May 17 2020,May 10 2020,May 3 2020,Apr 26 2020,Apr 19 2020,Apr 12 2020,Apr 5 2020,Mar 29 2020,Mar 22 2020,Mar 15 2020,Mar 8 2020,Mar 1 2020,Feb 23 2020,Feb 16 2020,Feb 9 2020,Feb 2 2020,Jan 26 2020,Jan 19 2020,Jan 12 2020,Jan 5 2020,"Dec 29, 2019 2020",Dec 22 2019,Dec 15 2019,Dec 8 2019,Dec 1 2019,Nov 24 2019,Nov 17 2019,Nov 10 2019,Nov 3 2019,Oct 27 2019,Oct 20 2019,Oct 13 2019,Oct 6 2019,Sep 29 2019,Sep 22 2019,Sep 15 2019,Sep 8 2019,Sep 1 2019,Aug 25 2019,Aug 18 2019,Aug 11 2019,Aug 4 2019,Jul 28 2019,Jul 21 2019,Jul 14 2019,Jul 7 2019,Jun 30 2019,Jun 23 2019,Jun 16 2019,Jun 9 2019,Jun 2 2019,May 26 2019,May 19 2019,May 12 2019,May 5 2019,Apr 28 2019,Apr 21 2019,Apr 14 2019,Apr 7 2019,Mar 31 2019,Mar 24 2019,Mar 17 2019,Mar 10 2019,Mar 3 2019,Feb 24 2019,Feb 17 2019,Feb 10 2019,Feb 3 2019,Jan 27 2019,Jan 20 2019,Jan 13 2019,Jan 6 2019,"Dec 30, 2018 2019",Dec 23 2018,Dec 16 2018,Dec 9 2018,Dec 2 2018,Nov 25 2018,Nov 18 2018,Nov 11 2018,Nov 4 2018,Oct 28 2018,Oct 21 2018,Oct 14 2018,Oct 7 2018,Sep 30 2018,Sep 23 2018,Sep 16 2018,Sep 9 2018,Sep 2 2018,Aug 26 2018,Aug 19 2018,Aug 12 2018,Aug 5 2018,Jul 29 2018,Jul 22 2018,Jul 15 2018,Jul 8 2018,Jul 1 2018,Jun 24 2018,Jun 17 2018,Jun 10 2018,Jun 3 2018,May 27 2018,May 20 2018,
the ordinary niacinamide,"165,000",$0.09,1,"66,000","56,000","50,300","35,900","45,900","45,900","44,500","51,700","45,900","37,300","50,300","50,300","37,300","30,200","51,700","40,200","38,800","44,500","58,900","54,600","60,300","41,600","38,800","48,800","35,900","41,600","37,300","27,300","28,700","33,000","35,900","41,600","45,900","48,800","61,700","35,900","38,800","31,600","41,600","40,200","41,600","48,800","38,800","44,500","56,000","45,900","37,300","41,600","38,800","31,600","35,900","34,500","30,200","35,900","41,600","41,600","37,300","40,200","37,300","33,000","40,200","47,400","47,400","50,300","48,800","34,500","33,000","41,600","51,700","37,300","53,100","53,100","43,100","35,900","31,600","25,800","41,600","43,100","40,200","37,300","31,600","30,200","38,800","18,700","37,300","38,800","40,200","40,200","28,700","44,500","41,600","47,400","43,100","44,500","43,100","48,800","53,100","45,900","48,800","38,800","50,300","54,600","43,100","51,700","43,100","43,100","47,400","66,000","66,000","66,000","50,300","60,300","77,500","63,200","64,600","89,000","64,600","77,500","71,800","74,700","80,400","100,500","73,200","84,700","97,600","70,400","60,300","76,100","81,800","81,800","63,200","81,800","53,100","73,200","60,300","66,000","73,200","64,600","70,400","73,200","84,700","77,500","89,000","86,100","116,300","123,500","110,600","97,600","122,000","129,200","132,100","143,600","143,600","94,800","124,900","127,800","113,400","81,800","76,100","71,800","64,600","54,600","44,500","38,800","30,200","30,200","24,400","31,600","31,600","33,000","35,900","28,700","27,300","20,100","28,700","31,600","24,400","30,200","17,200","18,700","23,000","17,200","18,700","18,700","8,600","14,400","14,400","14,400","17,200","14,400","17,200","14,400","12,900","7,200","14,400","15,800","14,400","23,000","18,700","10,100","10,100","14,400","12,900","18,700","1,400","12,900","2,900","12,900","8,600","15,800","11,500","10,100","11,500","7,200","5,700","7,200","18,700","2,900","10,100","10,100","7,200","12,900","12,900","11,500","10,100","12,900","8,600","14,400","8,600","5,700","11,500","4,300","2,900","7,200","4,300","5,700","8,600","5,700","8,600","2,900",0,"5,700","8,600","10,100","5,700","5,700","5,700","11,500","8,600","8,600","12,900","5,700","4,300","2,900","4,300","5,700","10,100","5,700","12,900","7,200","5,700",
the ordinary hyaluronic acid,"74,000",$0.12,1,0,"21,000","22,600","20,200","25,000","18,300","18,300","20,200","21,800","23,400","22,200","19,800","22,200","17,100","21,400","22,200","24,600","22,600","17,900","28,600","34,900","19,800","19,400","13,500","25,800","17,500","22,200","16,700","17,100","15,500","18,300","18,700","14,300","12,700","21,800","17,500","15,500","14,700","20,200","22,200","19,800","19,400","21,800","18,300","14,700","17,900","21,000","13,100","24,200","19,100","10,300","16,700","17,900","12,700","16,700","20,200","13,500","15,100","14,300","19,400","20,600","16,700","19,800","20,200","21,400","21,400","17,100","17,900","19,400","20,600","19,100","29,400","21,400","11,100","12,300","13,900","21,800","14,300","14,700","17,900","15,100","12,300","13,100","17,100","15,900","15,900","13,100","21,800","24,200","17,100","17,500","15,500","13,100","16,700","16,700","19,100","23,400","18,300","17,900","15,500","17,100","19,100","19,100","19,100","11,500","18,300","17,500","23,400","29,400","24,600","24,600","31,000","31,400","25,800","20,600","29,800","25,800","25,000","25,000","24,600","24,200","34,900","28,600","24,600","39,700","25,000","24,600","29,000","25,400","25,000","19,400","24,200","17,500","15,500","19,100","14,700","18,300","21,400","19,800","21,000","20,200","25,000","19,800","21,800","24,200","25,800","22,600","24,200","27,400","28,600","38,900","33,300","30,200","22,200","18,300","21,400","26,600","18,300","16,300","17,500","18,300","15,500","11,900","14,300","15,900","6,000","11,900","9,900","10,700","15,100","8,300","9,500","10,700","8,300","12,700","11,500","16,700","6,700","7,900","4,000","6,700","7,500","6,700","7,100","6,000","8,300","3,200","7,500","3,200","7,900","7,100","8,300","7,900","7,900","5,200","6,400","8,700","5,600","9,500","6,400","6,000","7,500","4,800","7,900","4,800","3,200","7,500","7,900","4,800","5,600","4,400","4,800","5,200","5,200","7,100","1,600","8,300","8,300","3,200","4,800","6,400","4,000","5,200","5,200","1,200","3,600","4,800","5,600","2,000","5,200","2,800","6,400","4,800","1,600","2,800","5,200","4,800","3,200",0,"8,300",0,"3,200",0,"2,400","2,400","3,600","1,600","3,200","1,200",0,"5,200","1,600",0,"2,800","4,400","3,600","2,400",0,0,"2,400","1,200",
the ordinary buffet,"60,500",$0.10,1,0,"6,500","12,400","6,800","10,800","7,100","10,500","13,300","9,600","11,800","9,900","10,500","8,400","12,100","15,800","12,400","17,300","13,600","15,200","14,500","16,100","11,100","13,000","14,900","16,700","15,200","11,400","17,300","14,900","11,100","23,500","22,000","14,200","13,300","16,700","20,100","10,200","14,200","14,200","16,400","20,100","17,900","13,900","22,900","17,900","12,100","14,500","15,800","16,100","17,000","23,500","13,600","15,800","13,000","9,600","12,400","11,400","16,100","17,600","10,500","19,200","21,700","12,700","19,500","22,600","16,700","18,600","16,400","17,300","17,000","16,400","14,500","14,900","12,700","12,100","14,500","14,200","14,200","12,100","10,200","16,700","9,600","13,600","9,000","18,300","19,500","7,700","10,500","12,400","13,900","11,400","14,900","14,900","7,700","17,300","19,500","15,500","9,300","13,000","13,300","14,500","11,100","22,300","9,300","13,600","12,100","16,400","21,700","12,100","16,400","20,100","19,200","27,500","19,800","15,800","16,100","26,300","15,800","17,000","24,100","30,600","18,900","27,200","23,200","30,900","25,400","19,500","22,000","20,100","19,200","13,900","22,600","11,100","14,500","22,000","19,200","17,900","21,700","22,900","15,500","26,300","28,800","24,100","21,300","19,800","25,100","30,900","18,600","24,800","29,700","30,300","18,300","25,100","8,400","17,600","25,400","23,200","18,600","17,000","13,300","19,200","14,200","15,200","13,000","11,800","9,300","17,900","13,300","12,700","15,200","17,300","19,500","20,100","13,300","13,900","10,200","15,200","7,700","10,500","8,400","13,600","9,300","11,800","10,200","10,500","9,600","5,600","9,000","6,200","7,700","10,500","2,800","7,400","9,000","9,900","10,800","8,400","12,400","13,600","14,900","9,600","5,300","6,500","7,400","9,000","6,800","13,300","11,400","7,400","4,600","9,600","7,400","10,500","7,700","11,100","6,800","11,800","6,500","5,300","1,500","11,100","5,600","6,200","7,100","5,600","6,800","5,600","6,500","5,600","13,000","7,400","12,700","4,000","3,700","6,800","4,600","9,300","2,200","4,600","6,200","7,100","2,800","8,400","9,300",0,"5,900","2,800","3,700","5,000",0,"2,800","4,600",0,"2,800","4,600",0,"5,600","5,300","3,700","6,800","6,200",
the ordinary glycolic acid 7 toning solution,"33,100",$0.07,0.99,0,"4,800",0,0,"12,400","3,600","5,200",0,"2,000",0,"6,300","2,700","5,700","2,700","4,300",0,0,"2,200","2,100","11,300","2,200",0,"3,700","3,700",0,0,0,"2,200","3,300","3,700",0,"5,000",0,0,"2,000",0,"6,200","6,100",0,0,"3,200",0,"2,800",0,0,"2,400","2,700","3,100",0,"2,600",0,"2,600","5,400",0,"2,100",0,0,"1,700","3,600","6,900",0,0,"2,500","2,000",0,0,"3,300","6,700",0,0,"2,700",0,0,0,0,0,"2,700",0,0,0,"4,100",0,0,"2,700",0,0,"2,700","2,800","6,700",0,0,"6,400",0,0,0,0,0,"2,800",0,0,0,"7,100",0,0,"3,800",0,"3,000",0,"4,800","2,400",0,"4,000",0,0,"2,100",0,"6,700",0,0,0,0,0,0,0,"3,800",0,0,"2,100","2,100","3,000","2,100",0,0,"5,100","3,000",0,0,"12,100",0,0,0,0,0,0,0,"3,200","7,700",0,0,0,"7,500","7,300","3,800","2,400","2,700","4,600","4,600",0,"4,200",0,"5,100","6,700","4,000","2,500",0,0,0,"4,600","1,900",0,0,0,0,0,0,"2,500",0,0,0,"5,300",0,0,0,0,0,0,0,0,"2,200",0,0,"4,100",0,0,"2,500",0,0,0,"7,500","7,300",0,0,0,0,0,0,0,0,"3,800","4,000",0,"10,800","2,400",0,0,"2,200",0,0,0,0,"5,200",0,0,"2,400",0,0,"4,300",0,0,0,0,0,0,0,0,"6,300",0,0,0,"2,800",0,"2,400","2,500",0,0,0,0,"5,800",0,0,0,0,"3,200",0,"3,700",0,0,0,0,0,"2,700",
the ordinary aha 30 bha 2 peeling solution,"27,100",$0.04,1,"138,800","5,600",0,0,0,"5,600",0,0,0,0,"6,900",0,0,0,0,"9,700",0,0,0,0,0,0,"11,100",0,0,"11,100",0,0,0,0,0,0,0,0,0,0,"4,200",0,0,0,0,0,0,"5,600","18,000",0,0,0,0,"6,900",0,0,"5,600","6,900",0,"13,900",0,"6,900",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"11,100",0,"11,100",0,0,0,0,0,"6,900","9,700",0,"11,100",0,"5,600",0,0,0,0,0,0,0,0,"9,700","19,400",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"15,300",0,"5,600",0,0,0,0,0,0,0,0,"6,900",0,0,0,0,"6,900",0,"4,200","13,900",0,0,"5,600",0,0,0,"34,700","12,500",0,0,0,0,0,0,0,0,0,0,0,0,0,"11,100","5,600","12,500",0,"11,100",0,0,0,"5,600",0,0,"11,100",0,0,0,"11,100",0,0,"8,300",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"9,700",0,"5,600",0,0,0,"8,300",0,0,"16,700","16,700",0,0,0,0,0,0,0,"13,900",0,0,0,0,0,"9,700",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"9,700",0,0,0,0,0,0,0,0,"12,500","5,600",0,0,"25,000",0,0,0,0,0,0,0,0,0,0,0,
the ordinary squalane cleanser,"18,100",$0.15,1,0,"1,900","4,500","2,500","2,700","2,600","5,400","3,200",0,0,"2,300",0,"3,500",0,"3,600","3,100","5,700",0,"3,600","3,100","3,300",0,"1,800","1,800","1,500","2,100","1,600","2,600","1,800","5,300","2,600","3,100","2,400","2,000","1,800",0,"1,800","1,400","5,500","3,000","7,300",0,"3,300",0,"3,600","2,800","3,000","4,500","2,300","1,300","2,600",0,"1,200","3,600",0,0,"2,400","3,900","1,300","3,100","1,800","1,900","1,400","2,500",0,"4,500","3,000","4,400","3,400","6,100","4,800","6,300","5,000",0,"2,500","2,000",0,"2,100",0,0,"2,100","2,200",0,0,0,"2,800","1,400","2,600","2,300",0,"2,000","1,300","2,700","2,100","2,200","2,200","1,800","1,800","1,400",0,"2,000",0,"2,300","3,200","4,100","6,500","2,700","2,300","3,200","1,800","3,500","2,000",0,0,"1,500","2,500","1,500","1,500","2,400","1,500","4,200","2,200","2,200","2,700","2,900","1,300","4,400","3,400","2,700","5,300","2,800","4,100","5,000",0,"6,600",0,"2,300","3,000","3,900","2,600",0,"1,900","3,800","1,300","5,300","2,600","2,600","2,600","2,300","3,100","4,400",0,"1,800","2,800","1,900","2,100","3,300","2,900","3,100",0,"4,300",0,"2,800",0,"1,600","1,200","1,200","2,600","4,900","1,500","3,000","3,400",0,"5,500","2,800","1,200","2,200","2,100",0,0,"1,200",0,0,0,"1,100","2,700","2,500",0,"1,500","5,200","1,500",0,0,"1,900",0,"2,300",0,0,0,"1,400","1,900","1,700","1,700",0,0,"1,600","2,700","1,500",0,0,"1,500",0,0,0,"1,500","1,500",0,0,0,0,0,0,"1,100",0,0,0,0,0,0,0,0,0,0,0,"6,300",0,0,"3,500",0,0,0,0,0,0,"3,100",0,0,0,0,0,0,0,0,0,"2,200",0,0,"1,200",0,0,0,
