Keyword,Search Volume (Global),CPC (Global),Competition (Global),May 14 2023,May 7 2023,Apr 30 2023,Apr 23 2023,Apr 16 2023,Apr 9 2023,Apr 2 2023,Mar 26 2023,Mar 19 2023,Mar 12 2023,Mar 5 2023,Feb 26 2023,Feb 19 2023,Feb 12 2023,Feb 5 2023,Jan 29 2023,Jan 22 2023,Jan 15 2023,Jan 8 2023,Jan 1 2023,Dec 25 2022,Dec 18 2022,Dec 11 2022,Dec 4 2022,Nov 27 2022,Nov 20 2022,Nov 13 2022,Nov 6 2022,Oct 30 2022,Oct 23 2022,Oct 16 2022,Oct 9 2022,Oct 2 2022,Sep 25 2022,Sep 18 2022,Sep 11 2022,Sep 4 2022,Aug 28 2022,Aug 21 2022,Aug 14 2022,Aug 7 2022,Jul 31 2022,Jul 24 2022,Jul 17 2022,Jul 10 2022,Jul 3 2022,Jun 26 2022,Jun 19 2022,Jun 12 2022,Jun 5 2022,May 29 2022,May 22 2022,May 15 2022,May 8 2022,May 1 2022,Apr 24 2022,Apr 17 2022,Apr 10 2022,Apr 3 2022,Mar 27 2022,Mar 20 2022,Mar 13 2022,Mar 6 2022,Feb 27 2022,Feb 20 2022,Feb 13 2022,Feb 6 2022,Jan 30 2022,Jan 23 2022,Jan 16 2022,Jan 9 2022,Jan 2 2022,"Dec 26, 2021 2022",Dec 19 2021,Dec 12 2021,Dec 5 2021,Nov 28 2021,Nov 21 2021,Nov 14 2021,Nov 7 2021,Oct 31 2021,Oct 24 2021,Oct 17 2021,Oct 10 2021,Oct 3 2021,Sep 26 2021,Sep 19 2021,Sep 12 2021,Sep 5 2021,Aug 29 2021,Aug 22 2021,Aug 15 2021,Aug 8 2021,Aug 1 2021,Jul 25 2021,Jul 18 2021,Jul 11 2021,Jul 4 2021,Jun 27 2021,Jun 20 2021,Jun 13 2021,Jun 6 2021,May 30 2021,May 23 2021,May 16 2021,May 9 2021,May 2 2021,Apr 25 2021,Apr 18 2021,Apr 11 2021,Apr 4 2021,Mar 28 2021,Mar 21 2021,Mar 14 2021,Mar 7 2021,Feb 28 2021,Feb 21 2021,Feb 14 2021,Feb 7 2021,Jan 31 2021,Jan 24 2021,Jan 17 2021,Jan 10 2021,Jan 3 2021,"Dec 27, 2020 2021",Dec 20 2020,Dec 13 2020,Dec 6 2020,Nov 29 2020,Nov 22 2020,Nov 15 2020,Nov 8 2020,Nov 1 2020,Oct 25 2020,Oct 18 2020,Oct 11 2020,Oct 4 2020,Sep 27 2020,Sep 20 2020,Sep 13 2020,Sep 6 2020,Aug 30 2020,Aug 23 2020,Aug 16 2020,Aug 9 2020,Aug 2 2020,Jul 26 2020,Jul 19 2020,Jul 12 2020,Jul 5 2020,Jun 28 2020,Jun 21 2020,Jun 14 2020,Jun 7 2020,May 31 2020,May 24 2020,May 17 2020,May 10 2020,May 3 2020,Apr 26 2020,Apr 19 2020,Apr 12 2020,Apr 5 2020,Mar 29 2020,Mar 22 2020,Mar 15 2020,Mar 8 2020,Mar 1 2020,Feb 23 2020,Feb 16 2020,Feb 9 2020,Feb 2 2020,Jan 26 2020,Jan 19 2020,Jan 12 2020,Jan 5 2020,"Dec 29, 2019 2020",Dec 22 2019,Dec 15 2019,Dec 8 2019,Dec 1 2019,Nov 24 2019,Nov 17 2019,Nov 10 2019,Nov 3 2019,Oct 27 2019,Oct 20 2019,Oct 13 2019,Oct 6 2019,Sep 29 2019,Sep 22 2019,Sep 15 2019,Sep 8 2019,Sep 1 2019,Aug 25 2019,Aug 18 2019,Aug 11 2019,Aug 4 2019,Jul 28 2019,Jul 21 2019,Jul 14 2019,Jul 7 2019,Jun 30 2019,Jun 23 2019,Jun 16 2019,Jun 9 2019,Jun 2 2019,May 26 2019,May 19 2019,May 12 2019,May 5 2019,Apr 28 2019,Apr 21 2019,Apr 14 2019,Apr 7 2019,Mar 31 2019,Mar 24 2019,Mar 17 2019,Mar 10 2019,Mar 3 2019,Feb 24 2019,Feb 17 2019,Feb 10 2019,Feb 3 2019,Jan 27 2019,Jan 20 2019,Jan 13 2019,Jan 6 2019,"Dec 30, 2018 2019",Dec 23 2018,Dec 16 2018,Dec 9 2018,Dec 2 2018,Nov 25 2018,Nov 18 2018,Nov 11 2018,Nov 4 2018,Oct 28 2018,Oct 21 2018,Oct 14 2018,Oct 7 2018,Sep 30 2018,Sep 23 2018,Sep 16 2018,Sep 9 2018,Sep 2 2018,Aug 26 2018,Aug 19 2018,Aug 12 2018,Aug 5 2018,Jul 29 2018,Jul 22 2018,Jul 15 2018,Jul 8 2018,Jul 1 2018,Jun 24 2018,Jun 17 2018,Jun 10 2018,Jun 3 2018,May 27 2018,May 20 2018,
the ordinary natural moisturizing factors ha,"18,100",$0.09,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
the ordinary serum foundation,"18,100",$0.12,1,"19,300",0,0,0,"3,700",0,"7,600","5,100","9,500","10,700","3,300",0,"2,500",0,"2,500","3,500",0,"2,500","3,100","2,900","8,600",0,0,"3,100","3,700","5,100",0,"6,400","6,000","2,100",0,0,0,"4,300","8,000","2,900",0,"4,900",0,"5,100",0,"9,300","6,800","3,900",0,0,0,"3,300","7,200","12,300","4,900","3,300","9,900","4,700",0,0,"4,300",0,0,"6,200","3,500","3,700","2,500","7,400","4,100",0,0,"5,600","9,700",0,0,"9,300","5,600","6,200",0,"2,700","2,900","5,100",0,0,"3,100",0,"4,900",0,"2,900","3,900",0,"4,100","4,700",0,"2,500","3,300",0,0,"2,900","3,500","3,900","13,600",0,"7,200","2,500","2,900","4,700",0,0,"2,500",0,0,"2,900","3,300","11,900","5,800","6,800","3,100","7,000","2,900","3,900","4,500",0,0,0,"6,800","2,700","2,100","6,600",0,"2,900","4,700","5,100","2,300",0,0,"2,700","2,300","5,100","4,500","8,000","4,700","7,600",0,"5,300","5,300","2,500",0,"3,700",0,"9,900","3,500","3,900",0,"4,100","6,800","3,500",0,0,"5,800","4,900","9,000","8,800","6,400",0,0,"5,800","5,600",0,"2,300","14,400","6,600","9,900",0,0,"5,100","9,500",0,0,"20,600","3,100","3,700","3,500",0,"2,300","7,600","5,100",0,0,0,0,0,0,0,0,"3,100",0,"2,700",0,0,0,"10,500",0,0,0,0,"4,100","3,100","4,500",0,0,"8,600","2,700","3,500","2,300","2,500","3,100","3,500","9,700","5,100","4,100",0,"3,500",0,0,"2,300","6,200","2,900","8,000","3,700","3,700","3,900",0,0,"7,800",0,0,"2,300","5,300","4,500",0,"3,300",0,"3,700","3,900","8,000",0,0,0,"2,300",0,0,"3,100","2,500","5,600","3,900",0,"3,100","8,200",0,0,"12,500","8,600","3,900",0,
the ordinary azelaic acid suspension 10,"9,900",$0.07,0.99,0,"2,500",0,"2,500","1,700",0,0,0,0,"3,100",0,"1,300",0,0,0,0,0,0,0,0,0,0,0,"1,500",0,0,0,0,"2,600","1,700",0,"1,300","2,000",0,"1,300",0,0,0,"2,400",0,0,0,0,"4,000","1,500","2,800",0,0,"1,400","2,500",0,0,0,0,"2,100",0,0,"1,200",0,"4,700","2,200",0,"3,300",0,"2,600",0,"5,400","1,700",0,"1,600","5,100","3,900","4,100",0,0,0,"4,600","1,600","2,200",0,"2,600",0,0,0,0,0,0,0,0,"3,500",0,"3,700",0,0,0,0,0,"1,700","2,500","4,000","1,700","2,500",0,"2,200","1,500","2,500","2,900",0,0,"1,700","3,500","1,500",0,"6,700","1,500",0,"1,900","2,500",0,"2,400",0,"2,300","2,100","5,800","5,000",0,"3,800","2,300","2,000",0,0,0,0,0,0,0,"2,300","1,800",0,"2,700","2,700","4,300","1,300","2,100",0,"1,400",0,"2,000","1,900","5,400",0,"2,100",0,"1,900","2,100","4,900",0,0,"1,200","2,900","1,200",0,0,0,0,"1,700",0,"2,000",0,0,0,0,"1,300","5,000",0,0,0,0,0,0,"1,600",0,0,0,"1,800",0,"3,300",0,"2,100",0,0,0,"3,300",0,0,0,0,0,0,"1,800",0,0,0,0,0,0,0,0,0,0,0,"4,700",0,0,"1,700",0,0,0,0,0,0,"3,700","2,000",0,0,0,0,"2,700","1,700",0,0,0,0,0,0,0,0,0,0,0,0,"2,600",0,0,0,0,0,0,0,0,0,"3,500","1,700","4,600",0,"2,700","2,700",0,0,0,0,
the ordinary caffeine solution 5 egcg,"8,100",$0.06,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
the ordinary alpha arbutin 2 ha,"8,100",$0.05,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
the ordinary buffet copper peptides 1,"5,400",$0.08,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
the ordinary salicylic acid 2 masque,"4,400",$0.06,0.99,0,0,0,0,0,0,0,"1,100",0,0,"1,000",0,"1,200","1,100",0,920,0,0,0,0,960,0,0,850,0,820,0,0,"1,500",0,0,0,0,0,"1,200",0,0,"2,600",0,0,0,0,0,0,"1,400",0,0,"1,200",0,0,"3,500",0,0,0,0,0,750,0,0,0,0,"1,600",0,0,0,"2,100",0,0,0,"1,800",0,0,"1,100",0,0,0,0,"1,800","1,400","1,700",0,"2,300",0,0,"2,500","1,400","1,000",0,0,0,"1,200","1,600",0,0,0,0,"1,900","2,000","1,200",0,0,"3,300",0,0,0,0,0,0,0,0,0,0,0,"2,200","1,300",0,0,0,920,0,"1,100",0,"1,100","1,400",0,0,0,"1,600",0,"1,900","1,800","1,400","1,500",990,0,0,0,"1,600",0,0,0,0,0,0,0,820,0,0,920,0,0,"1,300",820,"2,700","1,200",0,0,0,0,0,0,"1,300",0,0,0,0,0,0,0,0,"1,600",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,500",0,0,0,0,0,"1,400",0,0,0,0,"1,600",0,0,0,0,0,0,"1,300",0,"1,100","3,200",0,0,0,0,0,0,0,0,"1,100",0,0,0,0,"1,700",0,0,0,"2,600","1,000","1,800",990,"2,500",0,"2,600",0,0,0,0,0,"2,300",0,0,0,"1,300",0,0,0,0,0,"1,300",0,0,0,0,0,0,
the ordinary marine hyaluronics,"3,600",$0.10,1,0,0,0,0,0,900,0,"1,200","1,500",0,0,0,0,0,0,0,0,710,0,900,"2,000","1,200",0,0,0,0,710,"1,100",0,0,0,"1,100",0,"2,200",0,0,"1,300","1,400",850,0,"1,300",0,0,"1,600",0,"1,600",0,950,0,"1,800","1,100",0,0,0,"1,100","1,900",0,660,810,0,0,0,760,810,0,0,950,"1,800",0,"3,800",0,"2,900",0,"2,800","1,000",0,0,990,"2,600",0,0,0,0,0,"1,600","4,700",0,0,0,0,0,0,"2,000","1,700",0,0,0,"1,900",0,0,0,0,0,0,0,0,0,0,0,0,"4,100",0,0,0,0,"1,900","4,400",0,0,0,"1,400","1,200",900,0,0,0,0,"1,700",0,"1,700",900,0,"1,600",0,0,0,0,0,0,0,"1,200",0,0,760,0,"1,800",0,"1,400",0,0,0,0,0,0,0,0,0,0,"1,300",710,0,0,"1,300",0,0,0,"2,800",0,0,710,0,0,0,710,0,0,0,0,0,0,"2,100",0,0,"1,200",0,0,0,0,760,0,0,0,0,0,0,0,0,0,0,900,0,"1,600",0,"2,700",0,0,990,"1,100",900,0,0,0,0,0,0,0,810,0,0,0,0,0,950,0,"1,100",0,"1,500",0,0,0,0,0,"1,100",0,0,0,0,0,0,0,0,0,0,0,0,0,"1,400",0,"1,700",0,0,0,0,0,"1,500",0,0,0,"1,800",0,0,
the ordinary concealer,"3,600",$0.19,1,"10,400","1,500",0,730,"2,500","1,700",830,0,"1,200",0,0,"1,100","1,200","2,000",0,0,0,"1,500",830,0,"1,200",0,"2,600",830,0,930,0,620,"2,100","1,200",0,830,0,730,830,0,0,0,0,0,0,0,830,0,"1,700",0,0,0,730,620,930,0,0,0,930,0,"1,000",0,"1,200",620,620,"1,100",0,"1,100",0,730,"2,600",0,0,"1,300",0,"2,600","1,100",0,0,0,0,830,"2,500",0,930,0,0,730,"1,500",930,930,0,0,0,"1,900",0,0,0,0,"1,900",0,"3,700","5,000","2,300",930,0,0,0,930,"2,100",0,"1,200","2,600","1,000","1,900","1,800",0,0,"2,000","1,300","1,800","5,700","1,800","1,300","2,600","5,800",0,0,0,0,"2,200",0,"3,800","1,300",0,0,0,930,0,730,0,0,"1,600",0,"1,200",0,0,0,0,730,0,620,"2,500",830,0,0,0,"2,300",0,0,0,0,0,0,"1,000",0,0,0,0,0,830,0,0,0,0,"1,000","2,300",0,"1,100",0,0,0,0,"1,700",0,0,"2,200",0,0,0,0,0,0,"1,700","1,600",0,620,0,0,0,0,"1,100","1,100",0,0,0,0,0,0,0,"1,700",0,0,730,620,0,0,0,0,730,0,0,0,0,0,730,"2,100",0,0,0,0,0,0,0,0,"8,600",0,730,"1,600",0,0,0,730,0,"1,300",830,0,830,"1,100",0,0,0,0,0,"1,300",0,0,0,730,0,0,0,0,0,0,
the ordinary rose hip seed oil,"2,400",$0.11,1,0,540,0,0,0,0,0,0,600,0,240,270,470,500,0,450,0,350,0,0,700,0,350,0,470,0,0,320,290,0,380,0,250,0,0,360,490,0,0,0,0,0,0,0,0,0,0,660,0,0,0,840,0,270,0,490,0,0,0,0,0,0,0,0,770,0,0,0,420,330,0,470,740,740,0,590,0,320,0,0,0,0,320,0,0,590,670,0,0,0,0,330,0,820,"1,100",0,0,590,0,420,0,0,490,0,0,400,0,0,0,800,0,"1,100",450,0,380,520,0,"1,300",390,0,0,840,0,520,770,0,450,0,0,0,0,0,0,0,420,0,0,0,0,0,0,0,0,0,0,"1,300",0,0,380,350,680,730,320,240,0,360,320,490,0,0,0,0,390,0,290,0,0,0,0,0,0,290,0,430,0,0,450,0,0,0,460,0,0,0,0,0,0,0,0,610,0,0,360,0,0,0,460,920,0,0,0,0,490,0,0,0,390,0,0,0,0,0,0,0,0,0,0,0,0,570,0,0,0,0,0,700,0,0,0,400,540,0,0,0,0,0,0,0,0,390,0,0,0,0,0,290,0,"1,400",0,400,0,0,0,0,0,0,0,0,0,400,380,
the ordinary marula oil,"1,900",$0.15,1,0,460,0,0,0,0,0,0,600,0,0,870,410,0,0,0,0,0,0,740,600,0,410,0,0,0,0,0,0,0,0,0,0,0,350,550,0,0,0,0,0,0,520,600,0,0,550,0,0,440,0,0,0,0,710,0,330,850,0,0,0,0,0,950,490,850,570,0,0,0,0,600,570,440,0,0,0,0,850,0,0,600,0,0,0,0,0,950,680,0,520,0,0,0,0,0,"1,800",0,0,"1,000",0,520,630,490,0,650,0,930,0,0,930,0,440,850,520,0,0,380,0,460,0,0,0,0,680,"1,600",570,350,0,740,0,0,440,460,0,"2,700",350,0,"1,100",0,0,0,0,0,0,410,350,820,760,0,600,980,820,0,330,0,440,"2,200",680,950,460,570,930,0,0,850,0,790,870,0,350,0,"1,100",0,0,0,0,0,0,980,550,600,0,"1,000",460,0,630,760,0,0,0,0,0,0,930,0,"1,300",680,"1,400",0,710,"1,500",0,440,550,0,0,870,0,0,0,"1,100",0,0,"1,100","1,100",520,980,820,0,"1,200",870,850,680,"1,000","1,800",0,0,0,440,0,680,950,550,0,"1,200",930,0,460,460,0,0,0,0,0,600,710,0,0,0,570,0,0,0,550,0,650,740,0,"1,200","1,200",
the ordinary natural moisturizing factors,"1,900",$0.11,1,0,0,0,0,0,0,0,0,0,0,0,400,560,0,0,0,0,260,"1,400",0,420,0,0,0,350,0,0,280,0,0,"2,400",0,0,420,0,0,420,0,0,0,380,800,0,0,730,0,0,0,0,0,0,0,590,0,0,0,0,330,470,0,0,0,0,0,0,400,0,0,420,0,0,0,0,0,0,920,0,0,0,470,0,0,0,0,0,0,0,0,0,940,0,0,990,660,0,0,0,0,0,0,0,0,0,400,0,0,330,0,0,0,590,540,0,0,0,0,0,310,420,0,0,"1,000",0,0,0,0,0,640,0,0,800,400,0,470,0,0,0,0,0,0,800,0,610,0,280,0,0,"1,500",0,0,780,400,0,0,0,0,350,640,0,0,0,0,0,0,0,310,520,540,0,0,280,0,0,0,420,0,590,0,0,0,330,0,0,0,0,0,0,0,0,680,0,610,710,0,0,0,0,0,0,0,400,0,0,0,0,0,0,750,0,0,0,0,0,350,640,0,0,0,710,0,0,0,470,0,0,0,0,0,0,0,610,0,0,0,0,0,0,990,0,0,0,"1,600",0,0,0,890,0,710,0,0,0,"1,000",0,0,0,400,0,0,0,0,0,
the ordinary high adherence silicone primer,"1,600",$0.10,0.99,0,0,0,0,400,0,0,0,0,0,0,0,0,0,0,550,0,0,0,620,0,0,0,400,0,0,400,0,360,0,0,0,0,0,0,0,0,0,600,0,640,0,0,0,0,0,0,0,0,0,0,0,380,0,0,0,0,0,0,510,0,0,0,550,0,0,0,0,0,760,0,0,0,0,0,750,0,0,910,0,0,0,560,0,0,0,0,0,640,0,0,0,0,0,"1,000",0,0,0,0,0,0,0,0,0,0,0,0,0,"1,200",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,670,0,380,0,0,0,730,0,0,0,400,0,930,0,0,0,550,"1,100",0,0,0,580,0,400,600,0,450,400,0,0,"1,000",0,380,0,0,0,360,0,0,690,620,0,0,950,0,0,0,0,0,490,0,400,"1,200",0,530,0,0,0,0,0,950,0,0,840,"1,100",0,0,0,0,0,0,0,840,0,0,0,780,0,"1,800",0,0,0,0,"1,200",640,0,0,490,0,0,0,750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,450,"1,100",0,0,0,0,470,0,"1,500",0,0,0,0,0,760,0,600,0,0,"1,500",
the ordinary silicone primer,"1,300",$0.09,1,"10,000",0,0,0,0,0,400,0,0,0,0,"1,900",0,500,0,500,0,0,500,0,0,600,0,"1,400",0,0,400,0,0,0,"1,400","1,100",0,0,0,0,400,0,0,0,400,600,0,700,"1,000",0,0,0,0,800,0,0,0,0,0,500,0,0,0,0,0,0,0,0,0,"1,100",500,0,"1,000",0,0,0,0,0,0,0,0,"1,000",0,0,0,0,0,0,0,0,0,700,0,0,"1,000",0,0,500,0,0,0,800,"1,900",0,0,700,0,600,0,0,0,0,0,0,0,600,0,0,500,500,0,0,0,0,"1,200",700,700,400,600,0,0,0,0,0,0,600,0,0,0,0,500,500,0,0,0,700,0,0,0,"1,100",0,0,"1,100",900,0,0,700,"1,300",400,0,0,0,0,0,0,0,0,"1,200",0,400,0,0,0,0,500,0,0,0,0,0,0,600,0,0,0,0,0,0,"1,100",0,0,0,0,700,0,0,800,500,0,0,"1,200",0,0,0,0,0,500,0,0,0,0,0,800,0,0,0,"1,200",0,0,0,0,0,0,800,500,"1,400",0,0,0,0,0,0,0,"1,100",0,0,0,0,500,0,0,0,0,0,0,500,0,0,0,0,0,0,0,0,0,0,0,0,"2,000",0,700,0,0,500,500,
the ordinary caffeine solution 5,880,$0.08,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
the ordinary mineral uv filters spf 30 with antioxidants,720,$0.14,0.97,0,94,0,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,0,0,0,160,0,0,0,62,0,0,0,0,0,180,0,0,0,120,0,0,0,90,0,0,0,260,0,0,74,82,66,0,120,120,0,0,0,0,86,390,0,0,0,0,0,0,0,0,0,0,110,0,0,0,170,0,0,0,0,78,0,0,180,0,0,0,0,0,0,150,82,0,0,0,220,0,0,0,0,150,78,0,0,0,0,0,0,0,110,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,90,0,0,150,0,78,0,70,130,270,0,82,0,78,0,0,58,55,0,0,0,62,0,0,0,0,0,0,86,130,74,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,98,160,74,0,0,70,0,200,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,78,78,0,78,0,0,0,180,0,0,0,0,0,0,0,0,110,0,0,0,82,0,0,0,0,0,0,0,0,0,94,0,0,0,0,0,0,110,0,0,130,0,0,0,0,0,
the ordinary mineral uv,70,$0.14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
the ordinary behentrimonium chloride conditioner,0,$0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
